id;question;mediaReference;points;typeId;correctAnswerId
1;Czy w tej sytuacji masz obowiązek zatrzymać pojazd?;AK_D05_06_org.wmv;3;1;1
2;Czy w tej sytuacji masz obowiązek zatrzymać pojazd?;AK_D10_30_org.wmv;3;1;3
3;Czy w przedstawionej sytuacji masz prawo kontynuować jazdę?;AK_D11_43org.wmv;3;1;6
4;Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygnału - skręcić w prawo?;AK_D11_45org.wmv;3;1;8
5;Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?;;3;2;10
6;Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić, aby zachować bezpieczny odstęp od poprzedzającego pojazdu?;;3;2;12
7;Czy na jezdni oznaczonej tym znakiem wolno Ci zawrócić?;IMG_4251orgbm.jpg;1;1;16
8;Czy w tej sytuacji powinieneś oczekiwać, że następnym sygnałem będzie światło zielone?;3106D15_a_org.jpg;3;1;17
9;Czy w tej sytuacji wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem?;0118D14MM_a_org.jpg;3;1;20
10;Czy w tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?;2064D14MM_a_org.jpg;3;1;22
11;Czy w tej sytuacji nadawany sygnał świetlny oznacza, że podczas jazdy w prawo nie występuje kolizja z innymi uczestnikami ruchu?;066D16_a_org.jpg;3;1;23
12;Czy w tej sytuacji nadawany sygnał świetlny zezwala Ci na wjazd za sygnalizator?;IMG_0325_9550d5_a_org.jpg;3;1;26
13;Czy w tej sytuacji wolno Ci skręcić w prawo, jeśli nie spowodujesz tym utrudnienia ruchu?;0084D18_a_org.jpg;3;1;28
14;Czy w tej sytuacji wolno Ci zmienić zajmowany pas ruchu, gdy zamierzasz jechać na wprost?;IMG_9324_org.jpg;1;1;29
15;Czy na tej drodze możesz spodziewać się rowerzystów nadjeżdżających z przeciwka?;4152D15Xorg.jpg;1;1;31
16;Czy w tej sytuacji wolno Ci wjechać na pas ruchu po lewej stronie?;4170D15_a_org.jpg;1;1;34
17;Czy ten znak poziomy wyznacza miejsce bezwzględnego zatrzymania się, nawet w sytuacji, gdy z żadnej ze stron nie nadjeżdża pojazd?;D16_01_org.wmv;1;1;35
18;"Czy w tej sytuacji widoczna linia przerywana wyznacza Ci miejsce zatrzymania w związku ze znakiem ""stop""?";D16_05_org.wmv;1;1;38
19;"Czy ta linia ciągła wyznacza Ci miejsce zatrzymania pojazdu w związku ze znakiem ""stop""?";D16_06_org.wmv;1;1;39
20;Zamierzasz zawrócić na tym skrzyżowaniu. Czy zajmujesz właściwy pas ruchu?;MM_D14_15_org.wmv;1;1;41
21;Skręcasz w lewo na skrzyżowaniu. Czy po wjechaniu na jezdnię poprzeczną znaki poziome pozwalają Ci zająć pas ruchu przy prawej krawędzi jezdni?;MM_D14_17_org.wmv;1;1;43
22;Czy w tym miejscu wolno Ci skręcić w lewo i wjechać na stację paliw?;MM_D14_24_org.wmv;1;1;46
23;Czy widoczna linia złożona z trójkątów wskazuje Ci miejsce zatrzymania pojazdu w celu ustąpienia pierwszeństwa?;MM_D14_29_org.wmv;1;1;47
24;Czy w tym miejscu możesz skręcić w lewo, na parking?;MM_D14_34_org.wmv;1;1;50
32;Czy w przedstawionej sytuacji wolno Ci zawrócić, wykorzystując widoczną po lewej stronie zatokę?;013org.jpg;2;1;65
33;Czy w tej sytuacji masz prawo wyprzedzać samochód ciężarowy?;048D15_a_org.jpg;3;1;67
34;Planujesz jechać na wprost, a kierujący pojazdem nadjeżdżającym z przeciwka ma zamiar skręcić w lewo. Czy masz przed nim pierwszeństwo?;KW_D22_407_org.wmv;3;1;70
35;Planujesz skręcić w lewo, a kierujący pojazdem z przeciwka ma zamiar jechać na wprost. Czy masz przed nim pierwszeństwo?;KW_D22_417_org.wmv;3;1;72
36;Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa wszystkim pojazdom znajdującym się na skrzyżowaniu?;KW_D22_418_org.wmv;3;1;73
37;Zamierzasz jechać na wprost, a motocyklista chce skręcić w lewo. Czy masz obowiązek ustąpić mu pierwszeństwa?;KW_D22_419_org.wmv;3;1;75
38;Zamierzasz jechać na wprost, a kierujący pojazdem, jadącym z naprzeciwka, chce skręcić w lewo. Czy masz przed nim pierwszeństwo?;KW_D22_419_org.wmv;3;1;78
39;Zostałeś właśnie wyprzedzony przez pojazd widoczny przed Tobą. Czy bezpośrednio po wyprzedzeniu wolno Ci zwiększyć prędkość?;D26_026org.jpg;3;1;80
40;Czy w tej sytuacji, wykonując manewr omijania, masz obowiązek zatrzymać się w razie potrzeby?;D24_AK110org.wmv;2;1;81
41;Czy w tej sytuacji, podczas omijania, masz obowiązek zachować szczególną ostrożność?;D24_AK120org.wmv;2;1;83
47;Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do jednego niebezpiecznego zakrętu w prawo?;IMG_0345d8org.jpg;2;1;95
48;Czy w przedstawionej sytuacji jesteś ostrzegany o kilku niebezpiecznych zakrętach w lewo?;1814D15org.jpg;2;1;98
49;Czy w przedstawionej sytuacji jesteś ostrzegany o dwóch niebezpiecznych zakrętach?;A-3 zT-4org.jpg;2;1;100
50;Czy w przedstawionej sytuacji jesteś ostrzegany o dwóch niebezpiecznych zakrętach, z których pierwszy jest w lewo?;A-4 (5)org.jpg;2;1;101
51;Czy w tej sytuacji jesteś ostrzegany o zbliżaniu się do skrzyżowania, na którym pierwszeństwo przejazdu nie jest określone przy pomocy znaków drogowych?;A-5 (3)org.jpg;2;1;103
52; Czy w tej sytuacji należy rozpocząć hamowanie?;D24_20org.wmv;2;1;105
53;Czy w trakcie prowadzenia pojazdu, wraz z upływem czasu, poprawia się Twoja zdolność dostrzegania znaków i sygnałów drogowych?;IMG_9599org.jpg;2;1;108
54;Kierujesz pojazdem z prędkością 30 km/h. Czy w tej sytuacji powinieneś zatrzymać pojazd przed sygnalizatorem?;AK_D18_07org.wmv;3;1;109
55;Czy gdy prowadzisz w stanie pobudzenia emocjonalnego, to maleje Twoja zdolność koncentracji uwagi?;GND30__4_org.wmv;2;1;111
56;Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?;513_D27KW_org.wmv;3;1;114
57;Zamierzasz jechać na wprost. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?;514_D27KW_org.wmv;3;1;115
58;Zamierzasz jechać na wprost. Czy masz pierwszeństwo przed motocyklistą?;KW_D22_419_org.wmv;3;1;118
59;Czy umieszczony na tablicy znak ostrzega Cię o miejscu na drodze, w którym występuje lub może występować niebezpieczeństwo?;3436D15org.jpg;2;1;119
60;Czy w przedstawionej sytuacji masz obowiązek zachować szczególną ostrożność?;D20_0061org.jpg;2;1;121
61;Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do skrzyżowania z jednokierunkową drogą podporządkowaną?;A-6eorg.jpg;2;1;123
62;Czy tabliczka umieszczona pod znakiem wskazuje rzeczywisty przebieg drogi z pierwszeństwem przejazdu?;IMG_4003org.jpg;2;1;125
63;Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do przejazdu kolejowego wyposażonego w zapory, lub w półzapory?;0876D18org.jpg;2;1;127
64;Czy w przedstawionej sytuacji jesteś ostrzegany o przejeździe kolejowym wyposażonym w zapory lub półzapory?;A-10 (2)org.jpg;2;1;130
65;Czy w przedstawionej sytuacji jesteś ostrzegany o przejeździe kolejowym wyposażonym w półzapory?;1070D18org.jpg;2;1;132
89;Czy w przedstawionej sytuacji masz obowiązek zachować odstęp nie mniejszy niż 1 metr od wyprzedzanego rowerzysty?;D17PWCz_1org.wmv;3;1;179
90;Czy na tak oznakowanym skrzyżowaniu masz prawo wyprzedzać pojazdy poruszające się innymi pasami?;D29WCzorg.wmv;3;1;181
91;Czy w tej sytuacji możesz wyprzedzać?;D38WCz_2org.wmv;3;1;184
92;Czy w przedstawionej sytuacji zakaz wyrażony znakiem obowiązuje od miejsca jego ustawienia?;526D21org.jpg;3;1;185
93;Czy umieszczona pod tym znakiem zakazu tabliczka określa długość odcinka jezdni, na którym zakaz ten obowiązuje?;1005D15org.jpg;3;1;187
94;Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z lewej strony?;511_D27KW_org.wmv;3;1;189
95;Zamierzasz kontynuować jazdę na wprost. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z prawej strony?;518_D27KW_org.wmv;3;1;192
96;Czy w tej sytuacji masz obowiązek ustąpić pierwszeństwa pojazdowi, który nadjeżdża z lewej strony?;KW_D16_354org.wmv;3;1;193
97;Czy w tej sytuacji masz pierwszeństwo przed pojazdem wjeżdżającym z lewej strony na pas ruchu?;KW_D16_355org.wmv;3;1;196
260;Jakiej kategorii prawo jazdy jest wymagane, gdy chcesz kierować czterokołowcem innym niż lekki?;;1;2;521
261;Który z obowiązków dotyczy właściciela samochodu osobowego?;;1;2;524
262;Kiedy powinieneś sprawdzać ciśnienie w ogumieniu samochodu osobowego?;;2;2;527
263;W jaki sposób wolno Ci przewozić ładunek w przyczepie ciągniętej przez samochód osobowy?;;2;2;531
264;W jaki sposób przewieziesz ładunek w przyczepie ciągniętej przez samochód osobowy?;;2;2;533
265;Jak przewieziesz ładunek sypki w przyczepie ciągniętej przez samochód osobowy?;;2;2;538
